titles,body
Lined,"This is not lined, but product information, say yes,,,?"
Build Quilty,Would have liked the leather lined with fabric on the inside or a good lining. The leather had a very strong die used in the colour and the VOC on this was a concern yellow die to strong. Would have taken untreated leather due to the chemical smell. VOC was less after 28 days. Concern on the Chemical die
Not brilliant,They do not last only for very light gardening jobs
Good quality gloves,The XL was too small I had to send it back and there were no XXL so had to buy another make. The gloves is well made though.
Quality not up to standard,Gloves are ok but the stitching has come apart on one of the fingers and I can see this happening further so not impressed with the quality
"ok gloves, but pretty thin","bought these for camping, fires etc. they do a job but are pretty thin and not great for handling pots that,s been in the fire etc.. ok for processing wood"
ok..ish,feels nice but worn out quick.
Gloves Have a Strong Smell,These gloves were true to size and well made but the fabric has a very strong smell which stays on your hands all day. I threw them out after the first use.
Not terrible,I've used these for weeding and could feel spiky thistles though them. I would have expected a bit more protection for my fingers to be honest.
Faulty so had to return otherwise would of been a five star,Mine had a hole in top of left hand glove so had to return they look good otherwise 
Only lasted 4 months!,"When these gloves arrived my husband was really happy with them, lovely soft feel, really nice fit. However after only 4 months they have a hole in one of the fingers. Very disappointing as I have gardening gloves that have lasted for years! Such a shame as we really thought we had found a great durable pair of gloves."
Mediocre,"Yeah these are just OK - they fit alright for the sizes listed, but aren't double layered/finished on the inside and so not that comfortable to wear. I've had better gloves."
Seams inside the fingers are annoying,"They look well made on the outside and fitted ok, but there are very noticeable seams at the tips of the fingers inside, which haven’t been trimmed as much as they could have been and they were really rubbing against my fingertips, especially on the index fingers. I had to return them, it would soon be very irritating to wear"
Good but not fully thorn-proof and expensive.,"I have bought two pairs of these gloves and they have performed fairly well but I have several injuries from blackberry thorns, so be aware, thorn-proof might be more honestly described as some thorn resistance.I have since purchased two pairs of gardening gloves that are indistinguishable from these but at the same price as one pair here."
Not good,Terrible - badly made and HUGE . My hands are a size 7 ie small and these gloves must be a size 10 . Very inaccurate sizing. Straight in the charity bag.
Used once,"Very nice looking and comfy, however after the first use they were put in the cupboard for about a week til needed again, however this was not possible as they had gone totally moldy and stank, apparently this can happen if the tanning hasnt been properly done, but i have no idea about that."
They look good,No idea if they are good or not as yet . For gift for Christmas so let's wait and see. .delivery only took 3 days. He is using them...presume ok.
Comfy to wear.,Bought for my daughter and she loves them. They are very flexible
Don’t work with bramble,Was expecting to be able to pull sharp weeds and thorny bramble but you can’t with these gloves. I gave them a 3 because you can pick up the sharp ones after they have been cut you just can’t use force with them
Read the blurb,Thought they were lined as well
"Nice gloves, but they are not ‘small’","Ordered these in a ‘small’… they are not small. They fit my husband, who I would say has average sized men’s hands. So he has some new gardening gloves and I’ll remain project manager."
Beautiful gloves.,"These gloves are well made, easy to wear and very comfortable. BUT, they are supposed to be fleece lined, they are not!!! So maybe you need to change the description on what you are selling. Would buy again, but not as fleece lined."
Gloves gives off orange dye stains!,Unfortunately these gloves stained my hands orange like I’ve been tangoed! Nightmare to wash stains of my hand. Great shame as good gloves for gardening and maintenance but manufacturing standards needs to be addressed
Don't bother.,Stitching fell apart on first wearing.Waste of money
These are not thorn proof!,I was simply bringing some dead brambles from the back garden to the front and a thorn went through the glove and into my right palm.. Several trips to minor injuries unit and the Dr and antibiotics and an infected wound that almost spoilt a recent holiday and finally my palm is getting better approx 1 month later.. Not good..
Good gloves,"The gloves are very strong but given that i ordered the small ones they are a bit and suspect they are a ""mans small"""
Check size you need before ordering,"I ordered M size for my Male smallish hands.The ones that arrived were considerably too small and will be offered to my daughter, who hopefully has smaller hands than me, and I will buy from a local outlet where I can check the sizing before buying - which I should possibly have done.They certainly don't look 'thorn proof 'compared to gardening gloves I have previously bought and hopefully my daughter will give them a test run later in the year."
Dont buy,"Terrible, get wet and spikes go through"
Size too big,I ordered small size but way too big. I wish there is an XXS or XS size to choose. I will keep it as a gift instead.
Poor sizing,"I ordered a medium, based on the size guide shown in the description on Amazon. What I got was way too big. No labelling to say what size the glove was, so was I sent a large by mistake or is their sizing wrong? Maybe there's just one size? I have no clue. Had to return as didn't fit my hands properly and that would adversely affect dexterity. Not happy I now have to travel to town and spend money on parking, just to return them."
Good - but not thorn proof,"Well made and good fit , but not thorn proof , which you'll painfully find out.They'll suffice as ordinary gardening gloves now and I'll need try a pair that are."
Won't protect you from THORNS,"I was trying to pull some small plants by hand, off the soil but pricked my fingers instead and the thorns were not even that big"
Durability?,Comfy but a hole in a finger after 2 months of normal domestic use. Not satisfactory.
Gloves,The gloves were advertised as thorn proof. Started using them and they are not
Stains your hands yellow,Good thick gloves but don’t get wet or they will stain your hands yellow!
Nice material but...,"Nice and supple material but stitching already coming away, hoping I can restitch them"
Dog ate them,Unfortunately I was out of the house when the gloves arrived. When u got back I found that the dog had eaten them. Not HP
Not fleeced lined,It clearly says that these gloves are fleeced lined and they are not.Returned 😡😡😡
Not thorn proof,"Comfortable but no way thorn proof, dissatisfied"
not as advertised,"Product does not have the fleece lining that is advertised, this means that other gloves are better priced.I purchased these gloves because of the advertised lining.This shortcoming is a pity because the gloves are well made."
Soaked right through almost immediately,Might be ok when dead-heading some roses or other light work. But not for handling wet stuff. Sopping wet in no time
Allergic reaction to chemicals,Caused a severe allergic reaction on my hands and stank of chemicals.
Sizing is off,I am female. I used the measurement chart to check sizes and ordered a small. They are huge. The fit my husband who has large man-hands! Sizing is totally off for females. Quality of glove is good - no complaint there.
Poor,"The inside of the glove is badly designed and very uncomfortable, especially when gripping something."
Rubbish do not buy dyed my hands yellow!,Dyed my hands yellow absolutely awful took days to get off ended up rubbing my hands with nail varnish remover
Not remotely 'thorn proof'!,"How these gloves are so highly rated and how they get away with saying that they're thorn proof is beyond me!They are well made, but they are absolutely NOT thorn proof!Try pulling Brambles or Rose bush clippings and you'll soon find out!They're not long lasting either.I've used mine only occasionally for very light gardening and they already have holes in the fingers."
Lasted barely two hours!,"I'm clearing brambles - so heavy duty work with a lot of thorns involved! The stitching round the thumbs was very badly done - just a few stitches when a few dozen are needed. Stitching came away within two hours, which was revealed by thumb getting thorned through a large hole. Gloves are now useless. My previous gloves lasted for decades. Definitely a case of buy cheap, buy twice."
Not for man hands,Small size
Not fleece lined,Ordered these as a stocking filler for my daughter only to find there is no fleece lining despite this being in the description. Having used these type of gloves in the past I wanted to avoid her having the yellow stains!
You need small hands,Quality is good but poor fit and I have only medium size hands
not thornproof at all,"Very disappointed with this product, got it specifically to handle bramble, they offered almost no protection at all"
Too big,I ordered the small. I don’t have particularly small hands but they were too big for me
Low quality and a poor fit.,As per title. Sent mine back.
Stitching gave way between fingers after 4 weeks light use,Used for light gardening - very disappointing
Poor quality - total waste of money,Don't waste your money - after wearing for the first time the material tore as it is so thin and of very poor quality.Unable to return as just outside the returns window period - bad experience all round
Wrong gloves!,Nice gloves- wrong size!! Sending back.
These gloves are not lined,"The description of the gloves on the web site says they are fleece lined. In reality, the gloves are not lined"
Untrue claim,"They have a cheek saying their gloves have a fleece lining. They don't, in fact they have no lining."
Not fleece lined,Description states the gloves are fleece lined. They are not. This aside the gloves are well made.
Already falling apart,"The return window for this product was 06/08, and I am writing this on 07,/08, so I am now stuck with a pair of defective gloves."
Reeks of chemicals,Absolutely horrid chemical smells. Would avoid at all costs.
Great Value,Excellent fit
Rubbish,cheap n nasty
still let a small thorn through,pruning still let a small thorn through
Ok,Ok but have had thorns of brambles go through the stitching
"Decent gloves, be careful with sizing and don’t expect a fleece lining to keep your hands warm","These are a decent pair of leather gardening gloves, which come up a little larger than I expected, though still wearable.The gloves are made really for larger mens hands rather than the generally smaller ladies Ines, but then a lot of gloves are made in that way. They are well stitched, the leather is decent and the split leather design is nicely presented with the more robust leather in the palms and lower fingers for durability.I do have one niggle though, and that’s that I expected them to be fleece lined as described, but the Ines I received weren’t. Not sure if I just got a errant pair? I was planning to use these for winter gardening projects, hence the fleece lining would have made them warmer. As it is because they are larger than expected I can wear them with inner gloves, but I was disappointed with that aspect.Overall decent gloves, be careful with sizing and don’t expect a fleece lining to keep your hands warm. Three stars from me."
